artifact,betweenness_centrality
org.glassfish.connectors:connectors-internal-api:3.1.1-b10,446
org.apache.geronimo.framework:rmi-naming:2.1.5,444.785714285714
org.codehaus.plexus:plexus-container-default:1.0-alpha-8,441.814285714286
org.glassfish.packager:glassfish-ha:3.2-b01,441
org.glassfish.packager:glassfish-ejb:3.1-b30,439
org.apache.maven:maven-project:2.0.7,436.9
org.springframework:spring-core:3.0.5.RELEASE,435.216666666667
org.ow2.jonas:jonas-deployment:5.1.0-M5,435.166666666667
com.sun.grizzly:grizzly-http:1.9.18-k,434.5
org.glassfish.admin:config-api:3.1-b12,434
org.glassfish.packager:glassfish-jca:3.1-b16,432
org.glassfish.common:container-common:3.1-b30,431.5
org.glassfish.packager:glassfish-ejb:3.1-b12,431
org.glassfish.packager:glassfish-common-tmp:3.1.1-b07,431
org.glassfish.packager:glassfish-corba:3.1.1-b11,429
org.glassfish.packager:glassfish-corba:3.1-b17,428
org.glassfish.packager:glassfish-registration:3.0-b61,426
com.sun.grizzly:grizzly-http:1.9.31,423
org.glassfish.packager:shoal:3.2-b01,423
org.ow2.easybeans:easybeans-all:1.0.0-JONAS,422.833333333333
org.glassfish.packager:glassfish-cluster:3.1-b32,422.333333333333
org.glassfish.packager:glassfish-upgrade:3.0-b73,421
org.glassfish.packager:glassfish-jsf:3.0.1-b20,420
org.codehaus.plexus:plexus-velocity:1.1.7,419.333333333333
org.glassfish.packager:glassfish-corba-omgapi:3.0-b63,417
org.glassfish.packager:glassfish-jpa:3.1-b16,416
org.glassfish.packager:glassfish-web:3.0.1-b20,416
org.glassfish.packager:glassfish-management:3.1-b16,405
org.glassfish.packager:glassfish-upgrade:3.1-b35,401
org.glassfish.packager:glassfish-corba-base:3.1-b31,400
org.glassfish.packager:glassfish-corba-base:3.1-b30,400
org.hibernate:hibernate-entitymanager:3.4.0.GA,398.204761904762
org.glassfish.packager:glassfish-jpa:3.0-b71,398
org.glassfish:osgi-http:3.1-b40,397
org.glassfish.packager:glassfish-grizzly-full:3.0-b63,395
org.glassfish.admin:admin-util:3.1-b12,394
org.glassfish.packager:glassfish-web:3.1.1-b02,392
org.glassfish.packager:glassfish-common-tmp:3.0.1-b19,392
org.glassfish.packager:glassfish-jdbc:3.1-b40,392
org.apache.maven.shared:maven-common-artifact-filters:1.0,390.333333333333
org.glassfish.packager:glassfish-grizzly-full:3.1-b31,390
org.glassfish.packager:glassfish-grizzly-full:3.1-b30,390
org.glassfish.packager:glassfish-grizzly-full:3.0-b74a,389
org.ow2.jonas:jonas-commons:5.1.1,385.466666666667
org.ow2.jonas:jonas-services-api:5.3.0-RC1,385.333333333333
org.glassfish.packager:glassfish-javahelp:3.1-b32,385
org.codehaus.plexus.registry:plexus-registry-commons:1.0-alpha-1,384
org.glassfish.packager:glassfish-upgrade:3.1.1,384
org.glassfish.packager:glassfish-javahelp:3.2-b01,384
org.glassfish.admin:config-api:3.0,382.833333333333
org.glassfish.packager:glassfish-corba-base:3.0-b74a,381
org.glassfish.packager:glassfish-ejb:3.1-b31,380
org.ow2.jonas:jonas-deployment:5.2.0-M2-SR1,379.166666666667
org.ow2.jonas:jonas-domain:5.3.0-RC1,379
org.glassfish.packager:glassfish-grizzly-full:3.0.1-b08,378
org.glassfish.packager:glassfish-corba-base:3.0.1-b08,377
org.glassfish.packager:glassfish-corba-base:3.1-b12,375
org.ow2.easybeans:easybeans-api:1.1.0,372.333333333333
org.glassfish.connectors:work-management:3.1-b40,372
org.glassfish.persistence:persistence-common:3.1-b06,372
org.glassfish.packager:glassfish-nucleus:3.0-b74a,370
org.glassfish.packager:glassfish-cmp:3.0-b74a,369.5
org.codehaus.plexus.cache:plexus-cache-ehcache:1.0-alpha-2,367.666666666667
org.glassfish.packager:glassfish-corba:3.1.1-b05,367.5
org.glassfish.packager:glassfish-osgi-http:3.1.1-b02,366
org.glassfish.packager:glassfish-jpa:3.0-b61,365
commons-configuration:commons-configuration:1.5,364.5
org.glassfish.packager:glassfish-grizzly-full:3.1-b12,364
org.glassfish.packager:glassfish-osgi-http:3.0.1-b20,363
commons-jexl:commons-jexl:1.1,361.302380952381
org.glassfish.gmbal:gmbal:3.1.0-b001,361
org.glassfish.distributions:web-nb:3.0-b72,361
org.glassfish.packager:metro:3.1.1-b10,357
org.glassfish.packager:glassfish-cmp:3.0.1-b08,356
org.glassfish.deployment:deployment-autodeploy:3.1.1-b05,355
org.glassfish.packager:glassfish-nucleus:3.0-b63,355
org.glassfish.packager:glassfish-nucleus:3.1-b31,351
